,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Harry Potter Collection,8,1280.0,160.0,7707.367425,963.420928125,7.5375000000000005,26.25389325,6.1650856164102565,5983.25
Star Wars Collection,8,854.35,106.79375,7434.494790000001,929.3118487500001,7.375,23.41091925,8.23963653007986,5430.375
James Bond Collection,26,1539.65,59.2173076923077,7106.970239,273.3450091923077,6.338461538461539,13.453502423076923,6.128921627281947,1284.3076923076924
The Fast and the Furious Collection,8,1009.0,126.125,5125.098793,640.637349125,6.6625,10.799435375,4.94215406125,3197.0
Pirates of the Caribbean Collection,5,1250.0,250.0,4521.576826,904.3153652000001,6.88,53.972236599999995,3.453008643478261,5016.0
Transformers Collection,5,965.0,193.0,4366.101244,873.2202488,6.14,14.425077199999999,5.1971671285714285,3046.4
Despicable Me Collection,6,299.0,74.75,3691.070216,922.767554,6.783333333333334,106.71596133333337,12.76198749868421,3041.3333333333335
The Twilight Collection,5,385.0,77.0,3342.10729,668.421458,5.84,29.500843000000003,10.271931573529413,2770.2
Ice Age Collection,5,429.0,85.8,3216.708553,643.3417105999999,6.38,16.0752344,8.26175975,2643.8
Jurassic Park Collection,4,379.0,94.75,3031.484143,757.87103575,6.5,10.77281025,7.027788554838709,4608.75
Shrek Collection,5,535.0,133.75,2955.8070079999998,738.9517519999999,6.459999999999999,12.966704799999999,5.562873458958333,2344.2
The Hunger Games Collection,4,490.0,122.5,2944.1626340000003,736.0406585000001,6.875,54.766747499999994,6.2677218852307695,6543.5
The Hobbit Collection,3,750.0,250.0,2935.5233559999997,978.5077853333332,7.233333333333333,25.205614,3.8336,5981.333333333333
The Avengers Collection,2,500.0,250.0,2924.961604,1462.480802,7.35,63.633534,5.963190158116884,9454.0
The Lord of the Rings Collection,3,266.0,88.66666666666667,2916.5447429999995,972.1815809999998,8.033333333333333,30.272873333333337,11.725156962025316,8253.0
X-Men Collection,6,983.0,163.83333333333334,2808.8323170000003,468.13871950000004,6.816666666666666,9.707541166666667,3.02363225505618,4593.833333333333
Avatar Collection,1,237.0,237.0,2787.965087,2787.965087,7.2,185.070892,11.763565767932489,12114.0
Mission: Impossible Collection,5,650.0,130.0,2778.9779949999997,555.7955989999999,6.6,16.5097104,4.548867593333332,2801.0
Spider-Man Collection,3,597.0,199.0,2496.346518,832.115506,6.466666666666666,22.620704,3.918831705,4505.666666666667
The Dark Knight Collection,3,585.0,195.0,2463.716216,821.2387386666666,7.8,57.418393333333334,4.339756395999999,9681.0
