,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
James Bond Collection,26,1539.65,59.2173076923077,7106.970239,273.3450091923077,6.338461538461539,13.453502423076923,6.128921627281947,1284.3076923076924
Harry Potter Collection,8,1280.0,160.0,7707.367425,963.420928125,7.5375000000000005,26.25389325,6.1650856164102565,5983.25
Pirates of the Caribbean Collection,5,1250.0,250.0,4521.576826,904.3153652000001,6.88,53.972236599999995,3.453008643478261,5016.0
The Fast and the Furious Collection,8,1009.0,126.125,5125.098793,640.637349125,6.6625,10.799435375,4.94215406125,3197.0
X-Men Collection,6,983.0,163.83333333333334,2808.8323170000003,468.13871950000004,6.816666666666666,9.707541166666667,3.02363225505618,4593.833333333333
Transformers Collection,5,965.0,193.0,4366.101244,873.2202488,6.14,14.425077199999999,5.1971671285714285,3046.4
Star Wars Collection,8,854.35,106.79375,7434.494790000001,929.3118487500001,7.375,23.41091925,8.23963653007986,5430.375
The Hobbit Collection,3,750.0,250.0,2935.5233559999997,978.5077853333332,7.233333333333333,25.205614,3.8336,5981.333333333333
The Terminator Collection,5,661.4,132.28,1845.327738,369.0655476,6.540000000000001,21.8939716,2.842603464516129,3366.4
Mission: Impossible Collection,5,650.0,130.0,2778.9779949999997,555.7955989999999,6.6,16.5097104,4.548867593333332,2801.0
Spider-Man Collection,3,597.0,199.0,2496.346518,832.115506,6.466666666666666,22.620704,3.918831705,4505.666666666667
The Dark Knight Collection,3,585.0,195.0,2463.716216,821.2387386666666,7.8,57.418393333333334,4.339756395999999,9681.0
Captain America Collection,3,560.0,186.66666666666666,2238.6408410000004,746.2136136666668,7.099999999999999,61.307807000000004,4.204509247058824,6839.0
The Chronicles of Narnia Collection,3,560.0,186.66666666666666,1584.144587,528.0481956666666,6.3999999999999995,14.336569666666668,2.6818465612903224,1977.3333333333333
Iron Man Collection,3,540.0,180.0,2424.5475469999997,808.1825156666665,6.933333333333334,21.625895333333332,4.179815871428572,8290.333333333334
Shrek Collection,5,535.0,133.75,2955.8070079999998,738.9517519999999,6.459999999999999,12.966704799999999,5.562873458958333,2344.2
Star Trek: Alternate Reality Collection,3,525.0,175.0,1196.517508,398.8391693333333,7.133333333333333,17.267735333333334,2.4598170842105263,3896.3333333333335
Madagascar Collection,4,502.0,125.5,2257.054393,564.26359825,6.425,16.20889975,4.58859178,2105.0
The Avengers Collection,2,500.0,250.0,2924.961604,1462.480802,7.35,63.633534,5.963190158116884,9454.0
Cars Collection,3,495.0,165.0,1372.005602,457.33520066666665,6.333333333333333,17.249710666666665,2.79926198,2265.6666666666665
