,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
... Has Fallen Collection,2,130.0,65.0,366.780087,183.3900435,6.0,13.0080905,2.8648035345238094,2333.0
00 Schneider Filmreihe,1,0.0,,0.0,,6.5,1.931299,,16.0
08/15 Collection,1,0.0,,0.0,,5.9,0.628127,,4.0
100 Girls Collection,2,0.0,,0.0,,5.15,3.0786515000000008,,64.0
101 Dalmatians (Animated) Collection,2,4.0,4.0,215.880014,215.880014,6.25,13.063212,53.9700035,937.0
101 Dalmatians (Live-Action) Collection,2,139.0,69.5,504.301065,252.1505325,5.35,9.569749999999999,4.0494145559912855,524.5
12 Rounds Collection,3,24.0,12.0,17.280326000000002,17.280326000000002,5.3,7.908302333333334,0.8640163000000001,121.66666666666667
1920 Collection,2,0.0,,0.0,,5.4,1.0570825,,6.0
2 Days In... Collection,2,8.0,8.0,21.429951,10.7149755,5.85,5.667536999999999,0.206724,100.0
2001 Maniacs Collection,1,3.0,3.0,0.0,,4.9,4.619056,,70.0
20th Century Boys Collection,3,20.0,20.0,31.244858,31.244858,6.733333333333333,1.5182753333333334,1.5622429,17.333333333333332
28 Days/Weeks Later Collection,2,20.0,10.0,146.95832499999997,73.47916249999999,6.8,15.270571,10.413269833333331,1520.5
3 Men (Original) Collection,1,0.0,,2.052466,2.052466,6.4,2.850417,,37.0
3 Men Collection,2,0.0,,0.0,,5.5,5.3647279999999995,,188.5
3 Ninjas Collection,4,0.0,,0.0,,4.55,5.0922965,,55.5
30 Days of Night Collection,2,30.0,30.0,75.505973,75.505973,5.5,8.0423845,2.5168657666666667,452.5
300 Collection,2,175.0,87.5,760.19047,380.095235,6.55,15.5065425,4.785304154195805,3765.0
48 Hrs. Collection,2,50.0,25.0,232.38748199999998,116.19374099999999,6.15,11.118021,5.306174333333333,284.5
8MM Collection,2,40.0,40.0,96.618699,96.618699,5.1,5.4022375,2.4154674750000003,253.5
976-EVIL Collection,2,0.0,,2.955917,2.955917,4.6,9.107036,,23.5
9½ Weeks Collection,2,17.0,17.0,6.735922,6.735922,5.1,4.213661,0.396230705882353,98.0
A Better Tomorrow Collection,3,0.0,,4.46946,4.46946,6.833333333333333,5.286107333333333,,54.666666666666664
A Chinese Ghost Story Collection,3,0.0,,0.0,,6.733333333333333,4.614313333333333,,34.0
A Christmas Story Collection,2,0.0,,19.294144,19.294144,5.75,4.4323665000000005,,181.5
A Few Best Men Collection,2,12.468389,12.468389,29.131311,14.5656555,5.550000000000001,3.795707,2.3264763394853976,74.0
A Golden Christmas Collection,3,0.0,,0.0,,4.566666666666666,2.468665,,8.333333333333334
A Goofy Movie Collection,2,0.0,,35.348597,35.348597,6.35,10.2732005,,263.5
